('11:51:27', '11:51:28', '1.7487597465515137')
('11:51:30', '11:51:31', '1.8567173480987549')
('11:51:33', '11:51:34', '1.8462896347045898')
('11:51:36', '11:51:37', '1.895303726196289')
('11:51:39', '11:51:39', '1.7652108669281006')
('11:51:42', '11:51:42', '1.7786962985992432')
('11:51:44', '11:51:45', '1.7590956687927246')
('11:51:47', '11:51:48', '1.8670287132263184')
('11:51:50', '11:51:51', '1.8049752712249756')
('11:51:53', '11:51:54', '1.9258203506469727')
('11:51:56', '11:51:57', '1.879011869430542')
('11:51:59', '11:52:00', '1.8460288047790527')
('11:52:02', '11:52:03', '1.8027148246765137')
('11:52:05', '11:52:06', '1.8912224769592285')
('11:52:08', '11:52:09', '1.8457367420196533')
('12:04:25', '12:04:26', '1.7547500133514404')
('12:05:13', '12:05:14', '1.9092981815338135')
('12:05:16', '12:05:17', '1.880812168121338')
('12:05:19', '12:05:20', '1.7834794521331787')
('12:05:22', '12:05:23', '1.9040942192077637')
('12:05:25', '12:05:25', '1.7979044914245605')
('12:05:28', '12:05:28', '1.882117509841919')
('12:05:30', '12:05:31', '1.9311444759368896')
('12:05:33', '12:05:34', '1.8793716430664062')
('12:05:36', '12:05:37', '1.8388779163360596')
('12:05:39', '12:05:40', '1.748267412185669')
('12:05:42', '12:05:43', '1.9298689365386963')
('12:05:45', '12:05:46', '1.791741132736206')
('12:05:48', '12:05:49', '1.7495439052581787')
('12:05:51', '12:05:52', '1.8972618579864502')
('12:20:06', '12:20:07', '1.7382564544677734')
('12:20:09', '12:20:10', '1.817720890045166')
('12:20:12', '12:20:13', '1.7488973140716553')
('12:20:16', '12:20:16', '1.826876163482666')
('12:20:19', '12:20:20', '1.802032232284546')
('12:20:22', '12:20:23', '1.9076123237609863')
('12:20:25', '12:20:26', '1.8291065692901611')
('12:20:29', '12:20:29', '1.7344591617584229')
('12:21:20', '12:21:21', '1.7490530014038086')
('12:21:23', '12:21:24', '1.7500791549682617')
('12:21:27', '12:21:28', '1.8279011249542236')
('12:21:30', '12:21:31', '1.7814874649047852')
('12:21:33', '12:21:34', '1.8083298206329346')
('12:21:36', '12:21:37', '1.7858397960662842')
('12:21:40', '12:21:41', '1.8965020179748535')
('12:21:43', '12:21:44', '1.8734169006347656')
('12:21:46', '12:21:47', '1.8346762657165527')
('12:21:49', '12:21:50', '1.857288122177124')
('12:21:53', '12:21:53', '1.8043768405914307')
('12:21:56', '12:21:57', '1.9006381034851074')
('12:21:59', '12:22:00', '1.7605819702148438')
('12:22:02', '12:22:03', '1.7476420402526855')
('12:22:05', '12:22:06', '1.8882026672363281')
('12:22:09', '12:22:10', '1.8902919292449951')
('12:25:46', '12:25:47', '1.8061378002166748')
('12:25:51', '12:25:52', '1.8924715518951416')
('12:25:55', '12:25:56', '1.8569481372833252')
('12:26:00', '12:26:00', '1.746372938156128')
('12:26:04', '12:26:05', '1.8193202018737793')
('12:26:08', '12:26:09', '1.7460110187530518')
('12:26:13', '12:26:14', '1.8816370964050293')
('12:26:17', '12:26:18', '1.8555421829223633')
('12:26:22', '12:26:23', '1.8587861061096191')
('12:26:26', '12:26:27', '1.8859496116638184')
('12:31:16', '12:31:16', '1.9439489841461182')
('12:31:19', '12:31:20', '1.8533806800842285')
('12:31:22', '12:31:23', '1.796144962310791')
('12:31:25', '12:31:25', '1.7550127506256104')
('12:31:28', '12:31:29', '1.762223482131958')
('12:31:31', '12:31:32', '1.8883724212646484')
('12:31:34', '12:31:34', '1.769792079925537')
('12:31:37', '12:31:38', '1.8524367809295654')
('12:31:40', '12:31:41', '1.85355806350708')
('12:31:43', '12:31:44', '1.8967599868774414')
('12:31:46', '12:31:47', '1.7796320915222168')
('12:33:05', '12:33:06', '1.861879825592041')
('12:33:08', '12:33:09', '1.9127085208892822')
('12:33:11', '12:33:12', '1.9010629653930664')
('12:33:14', '12:33:15', '1.8957889080047607')
('12:33:17', '12:33:18', '1.9527103900909424')
('12:33:20', '12:33:21', '1.7809717655181885')
('12:33:23', '12:33:24', '1.926661729812622')
('12:33:26', '12:33:27', '1.8284082412719727')
('12:33:29', '12:33:30', '1.8407020568847656')
('12:33:32', '12:33:33', '1.9118523597717285')
('12:33:35', '12:33:35', '1.824059247970581')
('12:33:38', '12:33:38', '1.8238639831542969')
('12:33:40', '12:33:41', '1.8127362728118896')
('12:33:43', '12:33:44', '1.7563765048980713')
('12:33:46', '12:33:47', '1.777468204498291')
('12:33:49', '12:33:50', '1.7998559474945068')
('12:33:52', '12:33:53', '1.7997713088989258')
('12:33:55', '12:33:56', '1.9000458717346191')
