('11:51:26', '11:51:26', '0.11685752868652344')
('11:51:29', '11:51:29', '0.11996150016784668')
('11:51:32', '11:51:32', '0.1177828311920166')
('11:51:35', '11:51:35', '0.11899089813232422')
('11:51:38', '11:51:38', '0.11958503723144531')
('11:51:41', '11:51:41', '0.11976933479309082')
('11:51:44', '11:51:44', '0.11996030807495117')
('11:51:47', '11:51:47', '0.11805963516235352')
('11:51:50', '11:51:50', '0.1186683177947998')
('11:51:53', '11:51:53', '0.12395787239074707')
('11:51:56', '11:51:56', '0.11786437034606934')
('11:51:59', '11:51:59', '0.13150882720947266')
('11:52:01', '11:52:02', '0.12312793731689453')
('11:52:04', '11:52:04', '0.12146782875061035')
('11:52:07', '11:52:07', '0.12001299858093262')
('11:52:10', '11:52:10', '0.12586641311645508')
('12:04:24', '12:04:24', '0.12099766731262207')
('12:05:12', '12:05:12', '0.11846232414245605')
('12:05:15', '12:05:15', '0.125502347946167')
('12:05:18', '12:05:18', '0.11811184883117676')
('12:05:21', '12:05:21', '0.12424039840698242')
('12:05:24', '12:05:24', '0.11831283569335938')
('12:05:27', '12:05:27', '0.11773467063903809')
('12:05:30', '12:05:30', '0.12131261825561523')
('12:05:33', '12:05:33', '0.11659002304077148')
('12:05:36', '12:05:36', '0.11739850044250488')
('12:05:39', '12:05:39', '0.12194299697875977')
('12:05:42', '12:05:42', '0.12061023712158203')
('12:05:45', '12:05:45', '0.11821460723876953')
('12:05:47', '12:05:48', '0.11757636070251465')
('12:05:50', '12:05:50', '0.11963605880737305')
('12:05:53', '12:05:53', '0.12144708633422852')
('12:20:05', '12:20:05', '0.11705589294433594')
('12:20:09', '12:20:09', '0.12178778648376465')
('12:20:12', '12:20:12', '0.11906003952026367')
('12:20:15', '12:20:15', '0.11790990829467773')
('12:20:18', '12:20:18', '0.12161517143249512')
('12:20:21', '12:20:22', '0.11845541000366211')
('12:20:25', '12:20:25', '0.11813139915466309')
('12:20:28', '12:20:28', '0.11958169937133789')
('12:20:31', '12:20:31', '0.12083148956298828')
('12:21:20', '12:21:20', '0.11748504638671875')
('12:21:23', '12:21:23', '0.11927938461303711')
('12:21:26', '12:21:26', '0.11965203285217285')
('12:21:29', '12:21:29', '0.12265658378601074')
('12:21:32', '12:21:33', '0.11791372299194336')
('12:21:36', '12:21:36', '0.12362909317016602')
('12:21:39', '12:21:39', '0.11748266220092773')
('12:21:42', '12:21:42', '0.11710524559020996')
('12:21:45', '12:21:46', '0.12135052680969238')
('12:21:49', '12:21:49', '0.11902809143066406')
('12:21:52', '12:21:52', '0.1178734302520752')
('12:21:55', '12:21:55', '0.11714506149291992')
('12:21:58', '12:21:58', '0.1177682876586914')
('12:22:02', '12:22:02', '0.12176370620727539')
('12:22:05', '12:22:05', '0.12014961242675781')
('12:22:08', '12:22:08', '0.13978075981140137')
('12:25:46', '12:25:46', '0.11994242668151855')
('12:25:50', '12:25:50', '0.12115764617919922')
('12:25:55', '12:25:55', '0.12059569358825684')
('12:25:59', '12:25:59', '0.11738753318786621')
('12:26:03', '12:26:04', '0.11764836311340332')
('12:26:08', '12:26:08', '0.11770844459533691')
('12:26:12', '12:26:12', '0.12102842330932617')
('12:26:17', '12:26:17', '0.11747455596923828')
('12:26:21', '12:26:21', '0.11859250068664551')
('12:26:26', '12:26:26', '0.12529778480529785')
('12:26:30', '12:26:30', '0.14471745491027832')
('12:31:15', '12:31:15', '0.11673164367675781')
('12:31:18', '12:31:18', '0.12089300155639648')
('12:31:21', '12:31:21', '0.11850571632385254')
('12:31:24', '12:31:24', '0.11814045906066895')
('12:31:27', '12:31:27', '0.12981224060058594')
('12:31:30', '12:31:30', '0.1196439266204834')
('12:31:33', '12:31:33', '0.12464046478271484')
('12:31:36', '12:31:36', '0.12322592735290527')
('12:31:39', '12:31:39', '0.11927962303161621')
('12:31:42', '12:31:42', '0.11859488487243652')
('12:31:45', '12:31:45', '0.12019991874694824')
('12:31:48', '12:31:48', '0.13000822067260742')
('12:33:05', '12:33:05', '0.12367868423461914')
('12:33:08', '12:33:08', '0.12400174140930176')
('12:33:11', '12:33:11', '0.12121248245239258')
('12:33:14', '12:33:14', '0.11789846420288086')
('12:33:16', '12:33:16', '0.12297511100769043')
('12:33:19', '12:33:19', '0.11824703216552734')
('12:33:22', '12:33:22', '0.12326359748840332')
('12:33:25', '12:33:25', '0.11905384063720703')
('12:33:28', '12:33:28', '0.11804604530334473')
('12:33:31', '12:33:31', '0.1177678108215332')
('12:33:34', '12:33:34', '0.11961984634399414')
('12:33:37', '12:33:37', '0.11919379234313965')
('12:33:40', '12:33:40', '0.11766171455383301')
('12:33:43', '12:33:43', '0.1179962158203125')
('12:33:45', '12:33:46', '0.12083101272583008')
('12:33:48', '12:33:49', '0.12253355979919434')
('12:33:51', '12:33:52', '0.12010788917541504')
('12:33:54', '12:33:55', '0.12002825736999512')
('12:33:57', '12:33:58', '0.11842060089111328')
